,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk Level
450,30,male,3,own,NA,NA,11054,36,car,High Risk
451,29,female,2,own,little,NA,518,6,radio/TV,High Risk
452,34,male,2,own,little,NA,2759,12,furniture/equipment,High Risk
453,35,male,3,own,little,NA,2670,24,car,High Risk
454,31,male,2,own,little,little,4817,24,car,Medium Risk
455,29,female,3,own,little,NA,2679,24,car,High Risk
456,36,male,2,rent,little,little,3905,11,car,Low Risk
457,35,male,2,free,little,little,3386,12,car,Low Risk
458,27,female,2,own,little,little,343,6,domestic appliances,Low Risk
459,32,male,2,own,little,NA,4594,18,radio/TV,High Risk
460,37,male,2,own,little,little,3620,36,furniture/equipment,Low Risk
461,36,male,2,own,little,little,1721,15,car,Low Risk
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,Low Risk
463,38,male,2,own,NA,moderate,754,12,education,Low Risk
464,34,male,2,own,little,NA,1950,18,business,High Risk
465,63,male,2,own,little,little,2924,24,car,Low Risk
466,29,female,1,rent,little,little,1659,24,radio/TV,Low Risk
467,32,male,2,own,NA,NA,7238,48,radio/TV,High Risk
468,26,female,2,own,little,NA,2764,33,business,High Risk
469,35,male,1,own,little,NA,4679,24,car,High Risk
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,Medium Risk
471,23,female,2,own,little,little,448,6,education,Low Risk
472,28,male,1,own,little,little,654,9,car,Low Risk
473,36,male,3,own,NA,NA,1238,6,education,High Risk
474,33,male,2,own,little,moderate,1245,18,radio/TV,Low Risk
475,26,female,2,rent,little,little,3114,18,furniture/equipment,Medium Risk
476,24,male,2,own,quite rich,NA,2569,39,car,High Risk
477,25,male,2,own,little,rich,5152,24,radio/TV,Medium Risk
478,39,male,1,own,moderate,moderate,1037,12,business,Low Risk
479,44,male,2,own,little,little,1478,15,furniture/equipment,Low Risk
480,23,female,1,own,little,moderate,3573,12,radio/TV,Low Risk
481,26,male,2,own,little,moderate,1201,24,car,Low Risk
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,Low Risk
483,30,female,2,own,rich,NA,960,15,furniture/equipment,High Risk
484,44,male,2,own,quite rich,NA,1163,12,car,High Risk
485,47,male,3,own,little,moderate,1209,6,car,Low Risk
486,52,male,2,own,little,NA,3077,12,radio/TV,High Risk
487,62,female,2,free,little,NA,3757,24,car,High Risk
488,35,male,1,rent,moderate,NA,1418,10,car,High Risk
489,26,male,2,rent,little,NA,3518,6,car,High Risk
490,26,male,2,own,little,NA,1934,12,radio/TV,High Risk
491,42,female,3,free,little,moderate,8318,27,business,High Risk
492,27,female,2,own,moderate,NA,1237,6,radio/TV,High Risk
493,38,male,2,own,NA,moderate,368,6,radio/TV,Low Risk
494,39,male,1,rent,little,little,2122,12,car,Low Risk
495,20,male,2,own,NA,little,2996,24,furniture/equipment,Low Risk
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,High Risk
497,40,male,2,own,little,NA,1585,24,furniture/equipment,High Risk
498,32,male,1,own,little,moderate,1301,18,radio/TV,Low Risk
499,28,male,2,own,moderate,rich,1323,6,car,Low Risk
500,27,female,2,own,little,little,3123,24,car,Medium Risk
501,42,male,2,free,little,little,5493,36,car,Low Risk
502,49,male,2,own,moderate,rich,1126,9,radio/TV,Low Risk
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,Low Risk
504,24,female,2,rent,little,little,1207,24,car,Low Risk
505,27,male,1,own,NA,NA,1309,10,car,High Risk
506,36,male,2,own,quite rich,rich,2360,15,car,Low Risk
507,34,male,3,own,moderate,moderate,6850,15,car,Medium Risk
508,28,male,2,own,little,NA,1413,24,radio/TV,High Risk
509,45,male,3,own,moderate,NA,8588,39,car,High Risk
510,26,male,2,own,little,little,759,12,car,Low Risk
511,32,male,3,free,little,NA,4686,36,car,High Risk
512,26,male,2,rent,little,rich,2687,15,business,Low Risk
513,20,male,2,rent,little,moderate,585,12,radio/TV,Low Risk
514,54,male,2,own,NA,NA,2255,24,car,High Risk
515,37,female,2,own,little,little,609,6,car,Low Risk
516,40,male,1,own,little,little,1361,6,car,Low Risk
517,23,female,2,rent,little,NA,7127,36,furniture/equipment,High Risk
518,43,male,2,own,moderate,little,1203,6,car,Low Risk
519,36,male,2,free,NA,NA,700,6,radio/TV,High Risk
520,44,male,2,free,little,NA,5507,24,repairs,High Risk
521,24,female,2,own,little,little,3190,18,radio/TV,Medium Risk
522,53,male,2,free,little,little,7119,48,furniture/equipment,Low Risk
523,23,female,2,own,moderate,NA,3488,24,car,High Risk
524,26,female,1,own,little,moderate,1113,18,radio/TV,Low Risk
525,30,male,2,own,little,moderate,7966,26,car,Low Risk
526,31,female,2,own,moderate,NA,1532,15,education,High Risk
527,42,male,1,own,little,NA,1503,4,radio/TV,High Risk
528,31,male,2,rent,little,little,2302,36,radio/TV,Low Risk
529,41,male,1,own,little,little,662,6,car,Low Risk
530,32,male,2,own,little,moderate,2273,36,education,Low Risk
531,28,female,2,rent,moderate,moderate,2631,15,car,Low Risk
532,41,male,2,rent,little,NA,1503,12,car,High Risk
533,26,male,2,own,moderate,NA,1311,24,radio/TV,High Risk
534,25,male,2,own,NA,NA,3105,24,radio/TV,High Risk
535,33,male,2,rent,little,rich,2319,21,education,Low Risk
536,75,female,3,own,NA,little,1374,6,car,Low Risk
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,Medium Risk
538,42,male,3,free,little,little,7763,48,car,Low Risk
539,45,female,1,own,little,rich,3049,18,furniture/equipment,Medium Risk
540,23,male,2,rent,little,moderate,1534,12,radio/TV,Low Risk
541,60,male,2,free,little,NA,2032,24,car,High Risk
542,31,male,2,own,NA,little,6350,30,furniture/equipment,Low Risk
543,34,male,1,own,little,rich,2864,18,furniture/equipment,Low Risk
544,61,male,1,own,little,NA,1255,12,car,High Risk
545,43,male,2,free,little,little,1333,24,car,Low Risk
546,37,female,2,own,little,NA,2022,24,car,High Risk
547,32,male,2,own,little,NA,1552,24,radio/TV,High Risk
548,24,female,1,own,little,little,626,12,radio/TV,Low Risk
549,35,male,2,free,NA,NA,8858,48,car,High Risk
550,23,female,2,own,NA,NA,996,12,repairs,High Risk
551,45,male,1,own,quite rich,NA,1750,6,radio/TV,High Risk
552,34,male,2,own,little,little,6999,48,radio/TV,Low Risk
553,27,male,2,own,moderate,moderate,1995,12,car,Low Risk
554,67,female,3,own,little,moderate,1199,9,education,Low Risk
555,22,male,2,own,little,moderate,1331,12,radio/TV,Low Risk
556,28,female,2,own,moderate,moderate,2278,18,car,Low Risk
557,29,female,2,own,NA,NA,5003,21,car,High Risk
558,27,male,2,own,little,little,3552,24,furniture/equipment,Medium Risk
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,Low Risk
560,49,male,2,free,NA,little,2964,24,car,Low Risk
561,24,male,1,rent,little,little,1546,24,radio/TV,Low Risk
562,29,female,2,own,little,rich,683,6,radio/TV,Low Risk
563,37,male,2,free,NA,moderate,12389,36,car,High Risk
564,37,male,3,own,NA,moderate,4712,24,business,Medium Risk
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,Low Risk
566,36,male,2,own,little,little,1372,12,car,Low Risk
567,34,male,2,own,rich,NA,2578,24,radio/TV,High Risk
568,41,male,2,own,NA,moderate,3979,48,radio/TV,Low Risk
569,31,female,2,own,little,little,6758,48,radio/TV,Low Risk
570,23,female,1,rent,little,little,3234,24,furniture/equipment,Medium Risk
571,38,male,2,own,little,NA,5954,30,radio/TV,High Risk
572,26,female,3,rent,NA,NA,5433,24,car,High Risk
573,22,female,1,own,little,little,806,15,business,Low Risk
574,27,male,1,own,little,moderate,1082,9,radio/TV,Low Risk
575,24,female,2,own,little,NA,2788,15,furniture/equipment,High Risk
576,27,female,2,own,little,moderate,2930,12,radio/TV,Low Risk
577,33,female,2,own,NA,NA,1927,24,education,High Risk
578,27,male,2,own,little,moderate,2820,36,car,Low Risk
579,27,male,1,own,little,NA,937,24,education,High Risk
580,30,male,2,own,little,moderate,1056,18,car,Low Risk
581,49,male,1,own,little,moderate,3124,12,car,Low Risk
582,26,female,2,rent,little,NA,1388,9,furniture/equipment,High Risk
583,33,male,1,rent,little,moderate,2384,36,repairs,Low Risk
584,52,female,3,free,NA,NA,2133,12,car,High Risk
585,20,female,2,rent,little,little,2039,18,furniture/equipment,Low Risk
586,36,male,2,rent,little,little,2799,9,car,Low Risk
587,21,male,1,own,little,little,1289,12,furniture/equipment,Low Risk
588,47,male,1,own,little,little,1217,18,domestic appliances,Low Risk
589,60,male,2,own,little,little,2246,12,furniture/equipment,Low Risk
590,58,female,1,own,little,little,385,12,radio/TV,Low Risk
591,42,female,2,rent,NA,moderate,1965,24,car,Low Risk
592,36,female,1,own,rich,NA,1572,21,business,High Risk
593,20,female,1,rent,little,moderate,2718,24,car,Low Risk
594,40,male,3,own,NA,little,1358,24,vacation/others,Low Risk
595,32,female,1,own,moderate,moderate,931,6,car,Low Risk
596,23,female,2,rent,little,little,1442,24,car,Low Risk
597,36,male,1,own,little,moderate,4241,24,business,Medium Risk
598,31,male,2,own,little,NA,2775,18,car,High Risk
599,32,male,2,free,little,NA,3863,24,business,High Risk
600,45,female,2,own,little,moderate,2329,7,radio/TV,Low Risk
601,30,female,2,own,little,moderate,918,9,furniture/equipment,Low Risk
602,34,female,1,free,little,moderate,1837,24,education,Low Risk
603,28,female,3,own,little,NA,3349,36,furniture/equipment,High Risk
604,23,female,2,own,little,rich,1275,10,furniture/equipment,Low Risk
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,Low Risk
606,74,male,3,own,little,NA,4526,24,business,High Risk
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,Low Risk
608,33,male,2,own,little,NA,2051,18,radio/TV,High Risk
609,45,male,2,free,NA,NA,1300,15,car,High Risk
610,22,female,2,own,moderate,little,741,12,domestic appliances,Low Risk
611,48,female,1,free,moderate,rich,1240,10,car,Low Risk
612,29,female,2,own,rich,little,3357,21,radio/TV,Medium Risk
613,22,female,2,rent,little,little,3632,24,car,Medium Risk
614,22,female,2,own,little,NA,1808,18,furniture/equipment,High Risk
615,48,male,3,own,NA,moderate,12204,48,business,High Risk
616,27,male,3,free,NA,moderate,9157,60,radio/TV,High Risk
617,37,male,2,rent,little,little,3676,6,car,Low Risk
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,Low Risk
619,49,male,1,own,little,NA,640,12,car,High Risk
620,27,male,2,own,little,moderate,3652,21,business,Medium Risk
621,32,male,2,own,little,NA,1530,18,car,High Risk
622,38,male,2,own,NA,NA,3914,48,business,High Risk
623,22,female,2,rent,little,little,1858,12,furniture/equipment,Low Risk
624,65,male,2,free,little,little,2600,18,radio/TV,Low Risk
625,35,male,2,own,NA,NA,1979,15,radio/TV,High Risk
626,41,male,2,own,little,rich,2116,6,furniture/equipment,Low Risk
627,29,male,2,own,moderate,moderate,1437,9,car,Low Risk
628,36,male,2,own,quite rich,NA,4042,42,furniture/equipment,High Risk
629,64,male,1,own,NA,NA,3832,9,education,High Risk
630,28,female,2,own,little,little,3660,24,radio/TV,Medium Risk
631,44,male,2,own,little,little,1553,18,furniture/equipment,Low Risk
632,23,male,2,own,NA,moderate,1444,15,radio/TV,Low Risk
633,19,female,2,rent,little,NA,1980,9,furniture/equipment,High Risk
634,25,female,1,own,little,moderate,1355,24,car,Low Risk
635,47,male,2,own,little,NA,1393,12,education,High Risk
636,28,female,2,own,quite rich,NA,1376,24,radio/TV,High Risk
637,21,male,2,own,little,NA,15653,60,radio/TV,High Risk
638,34,female,2,own,little,NA,1493,12,radio/TV,High Risk
639,26,male,2,own,little,little,4370,42,radio/TV,Low Risk
640,27,female,0,own,little,little,750,18,education,Low Risk
641,38,male,1,own,little,moderate,1308,15,repairs,Low Risk
642,40,male,3,own,moderate,NA,4623,15,education,High Risk
643,33,male,2,own,little,NA,1851,24,radio/TV,High Risk
644,32,male,3,own,little,little,1880,18,radio/TV,Low Risk
645,27,male,2,rent,NA,NA,7980,36,business,High Risk
646,32,male,2,own,little,little,4583,30,furniture/equipment,Low Risk
647,26,female,2,own,quite rich,NA,1386,12,car,High Risk
648,38,male,2,free,little,rich,947,24,car,Low Risk
649,40,male,1,rent,little,little,684,12,education,Low Risk
650,50,male,3,free,little,little,7476,48,education,Low Risk
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,Low Risk
652,45,male,2,own,little,little,2303,24,car,Low Risk
653,42,male,3,own,moderate,moderate,8086,36,car,High Risk
654,35,male,2,own,little,NA,2346,24,car,High Risk
655,22,male,2,free,little,little,3973,14,car,Medium Risk
656,41,male,1,own,little,moderate,888,12,car,Low Risk
657,37,male,2,own,NA,NA,10222,48,radio/TV,High Risk
658,28,female,2,own,little,moderate,4221,30,business,Low Risk
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,Medium Risk
660,23,male,2,rent,little,rich,1297,12,radio/TV,Low Risk
661,23,male,2,own,NA,little,900,12,car,Low Risk
662,50,male,2,own,little,NA,2241,21,furniture/equipment,High Risk
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,Low Risk
664,50,female,1,own,little,rich,1047,6,education,Low Risk
665,27,male,3,own,little,NA,6314,24,vacation/others,High Risk
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,Low Risk
667,27,female,2,own,little,NA,3609,48,business,High Risk
668,43,male,2,rent,little,little,4843,12,car,Low Risk
669,47,male,2,own,little,rich,3017,30,radio/TV,Low Risk
670,27,male,1,own,moderate,NA,4139,24,business,High Risk
671,31,male,2,own,moderate,NA,5742,36,business,High Risk
672,42,male,3,own,little,NA,10366,60,car,High Risk
673,24,male,2,own,quite rich,NA,2080,6,car,High Risk
674,41,male,1,own,quite rich,NA,2580,21,business,High Risk
675,26,female,3,rent,little,NA,4530,30,radio/TV,High Risk
676,33,male,2,own,little,NA,5150,24,furniture/equipment,High Risk
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,Low Risk
678,64,male,1,rent,little,little,2384,24,radio/TV,Low Risk
679,26,female,2,own,little,NA,1453,18,radio/TV,High Risk
680,56,female,2,own,little,NA,1538,6,education,High Risk
681,37,male,2,free,NA,NA,2279,12,radio/TV,High Risk
682,33,male,2,own,little,NA,1478,15,radio/TV,High Risk
683,47,male,2,free,little,NA,5103,24,radio/TV,High Risk
684,31,male,1,own,moderate,moderate,9857,36,business,High Risk
685,34,male,2,free,NA,NA,6527,60,car,High Risk
686,27,male,2,own,NA,rich,1347,10,radio/TV,Low Risk
687,30,male,2,free,moderate,moderate,2862,36,car,Low Risk
688,35,male,2,own,moderate,NA,2753,9,radio/TV,High Risk
689,31,male,2,own,rich,little,3651,12,car,Low Risk
690,25,male,2,own,little,little,975,15,furniture/equipment,Low Risk
691,25,female,1,own,moderate,moderate,2631,15,repairs,Low Risk
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,Low Risk
693,44,male,1,own,NA,little,4716,6,car,Low Risk
694,28,male,2,own,little,NA,2284,24,radio/TV,High Risk
695,50,male,2,rent,quite rich,NA,1236,6,car,High Risk
696,29,male,2,own,little,moderate,1103,12,radio/TV,Low Risk
697,38,female,0,own,little,NA,926,12,car,High Risk
698,24,male,2,own,little,NA,1800,18,radio/TV,High Risk
699,40,male,3,rent,little,rich,1905,15,education,Low Risk
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,High Risk
701,46,male,2,free,little,little,6331,48,car,Low Risk
702,47,female,2,free,moderate,rich,1377,24,radio/TV,Low Risk
703,41,male,2,own,moderate,moderate,2503,30,business,Low Risk
704,32,female,2,own,little,moderate,2528,27,business,Low Risk
705,35,female,2,free,quite rich,NA,5324,15,car,High Risk
706,24,male,2,own,moderate,moderate,6560,48,car,Low Risk
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,Low Risk
708,25,female,2,own,little,moderate,1206,9,radio/TV,Low Risk
709,37,male,1,own,little,moderate,2118,9,radio/TV,Low Risk
710,32,male,3,own,quite rich,NA,629,18,radio/TV,High Risk
711,35,female,2,free,little,little,1198,6,education,Low Risk
712,46,male,3,own,NA,NA,2476,21,car,High Risk
713,25,male,1,own,little,little,1138,9,radio/TV,Low Risk
714,27,male,3,own,little,moderate,14027,60,car,High Risk
715,63,male,2,own,NA,NA,7596,30,car,High Risk
716,40,male,2,own,NA,NA,3077,30,radio/TV,High Risk
717,32,male,3,free,little,NA,1505,18,radio/TV,High Risk
718,31,male,2,own,NA,rich,3148,24,radio/TV,Medium Risk
719,31,male,2,own,moderate,moderate,6148,20,car,Medium Risk
720,34,male,3,own,little,rich,1337,9,radio/TV,Low Risk
721,24,female,2,rent,rich,moderate,433,6,education,Low Risk
722,24,female,1,own,little,little,1228,12,car,Low Risk
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,Low Risk
724,21,female,2,rent,little,NA,2570,27,car,High Risk
725,41,female,1,own,rich,NA,250,6,car,High Risk
726,47,male,1,own,quite rich,NA,1316,15,radio/TV,High Risk
727,25,female,2,rent,little,little,1882,18,radio/TV,Low Risk
728,59,female,2,rent,little,moderate,6416,48,business,Low Risk
729,36,male,2,own,rich,rich,1275,24,business,Low Risk
730,33,male,2,own,little,moderate,6403,24,radio/TV,Medium Risk
731,21,male,1,rent,little,little,1987,24,radio/TV,Low Risk
732,44,female,1,own,little,moderate,760,8,radio/TV,Low Risk
733,28,female,2,rent,rich,NA,2603,24,car,High Risk
734,37,female,2,own,little,NA,3380,4,car,High Risk
735,29,female,0,own,NA,moderate,3990,36,domestic appliances,Low Risk
736,23,female,3,rent,little,moderate,11560,24,car,Low Risk
737,35,male,1,own,moderate,little,4380,18,car,Medium Risk
738,45,male,3,own,little,NA,6761,6,car,High Risk
739,26,female,1,rent,moderate,moderate,4280,30,business,Low Risk
740,32,male,2,own,moderate,little,2325,24,car,Low Risk
741,23,male,1,own,little,moderate,1048,10,radio/TV,Low Risk
742,41,male,2,own,NA,NA,3160,21,radio/TV,High Risk
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,Low Risk
744,30,male,3,own,NA,little,14179,39,furniture/equipment,High Risk
745,28,male,1,own,little,little,1797,13,business,Low Risk
746,23,female,2,rent,little,little,2511,15,car,Low Risk
747,37,female,1,own,little,little,1274,12,car,Low Risk
748,26,male,2,own,NA,NA,5248,21,car,High Risk
749,33,male,2,own,little,NA,3029,15,car,High Risk
750,49,female,2,own,little,little,428,6,furniture/equipment,Low Risk
751,23,female,1,own,little,little,976,18,car,Low Risk
752,23,female,1,rent,moderate,moderate,841,12,business,Low Risk
753,25,female,2,own,little,NA,5771,30,radio/TV,High Risk
754,55,male,2,free,rich,NA,1555,12,repairs,High Risk
755,32,female,2,rent,NA,little,1285,24,car,Low Risk
756,74,male,0,own,little,rich,1299,6,car,Low Risk
757,39,male,2,free,NA,rich,1271,15,radio/TV,Low Risk
758,31,male,2,own,little,NA,1393,24,car,High Risk
759,35,male,2,own,little,little,691,12,car,Low Risk
760,59,female,2,own,NA,NA,5045,15,car,High Risk
761,24,female,2,rent,little,little,2124,18,furniture/equipment,Low Risk
762,24,male,1,own,little,little,2214,12,radio/TV,Low Risk
763,30,male,3,free,NA,NA,12680,21,car,High Risk
764,27,male,2,own,moderate,NA,2463,24,car,High Risk
765,40,male,1,own,little,moderate,1155,12,radio/TV,Low Risk
766,31,male,1,own,little,little,3108,30,furniture/equipment,Low Risk
767,31,female,2,rent,NA,NA,2901,10,car,High Risk
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,Low Risk
769,63,male,1,own,little,NA,1655,12,radio/TV,High Risk
770,26,female,2,rent,NA,little,2812,24,car,Low Risk
771,25,female,3,own,little,little,8065,36,education,High Risk
772,36,male,3,own,little,NA,3275,21,car,High Risk
773,52,male,2,own,moderate,NA,2223,24,radio/TV,High Risk
774,66,male,0,free,quite rich,rich,1480,12,car,Low Risk
775,25,female,2,rent,NA,little,1371,24,car,Low Risk
776,37,male,2,own,little,NA,3535,36,car,High Risk
777,25,female,2,own,little,little,3509,18,radio/TV,Medium Risk
778,38,male,3,own,rich,NA,5711,36,car,High Risk
779,67,female,2,own,little,moderate,3872,18,repairs,Medium Risk
780,25,male,2,own,little,moderate,4933,39,radio/TV,Low Risk
781,60,male,2,own,rich,NA,1940,24,car,High Risk
782,31,male,1,own,little,moderate,1410,12,education,Low Risk
783,23,female,1,own,moderate,moderate,836,12,car,Low Risk
784,60,male,3,own,NA,moderate,6468,20,car,Medium Risk
785,35,male,1,own,rich,moderate,1941,18,business,Low Risk
786,40,male,2,own,quite rich,NA,2675,22,radio/TV,High Risk
787,38,male,2,own,NA,NA,2751,48,car,High Risk
788,50,male,2,free,little,moderate,6224,48,education,Low Risk
789,27,male,2,own,little,little,5998,40,education,Low Risk
790,39,female,2,own,little,moderate,1188,21,business,Low Risk
791,41,male,3,own,NA,NA,6313,24,car,High Risk
792,27,male,2,own,NA,NA,1221,6,furniture/equipment,High Risk
793,51,male,2,free,little,rich,2892,24,furniture/equipment,Low Risk
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,High Risk
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment,High Risk
796,51,male,2,free,NA,little,7511,18,car,Medium Risk
797,22,female,1,rent,little,NA,1258,12,furniture/equipment,High Risk
798,54,male,2,own,NA,NA,717,24,car,High Risk
799,35,male,0,own,NA,moderate,1549,9,car,Low Risk
800,54,male,2,free,little,NA,1597,24,education,High Risk
801,48,female,1,rent,little,moderate,1795,18,radio/TV,Low Risk
802,24,female,2,own,little,little,4272,20,furniture/equipment,Medium Risk
803,35,male,2,own,NA,NA,976,12,radio/TV,High Risk
804,24,female,0,rent,NA,moderate,7472,12,car,Low Risk
805,24,male,2,own,little,little,9271,36,car,High Risk
806,26,male,1,own,little,moderate,590,6,radio/TV,Low Risk
807,65,male,2,own,NA,NA,930,12,radio/TV,High Risk
808,55,male,3,free,little,moderate,9283,42,car,High Risk
809,26,female,0,rent,little,moderate,1778,15,car,Low Risk
810,26,male,2,own,little,moderate,907,8,business,Low Risk
811,28,male,1,own,little,moderate,484,6,radio/TV,Low Risk
812,24,male,2,own,little,little,9629,36,car,High Risk
813,54,male,2,own,little,little,3051,48,domestic appliances,Low Risk
814,46,male,2,free,little,little,3931,48,car,Low Risk
815,54,female,2,rent,little,moderate,7432,36,car,Low Risk
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances,High Risk
817,24,female,2,rent,little,NA,1554,6,radio/TV,High Risk
818,43,male,3,own,little,little,15857,36,vacation/others,High Risk
819,26,male,2,own,little,little,1345,18,radio/TV,Low Risk
820,27,male,2,own,little,NA,1101,12,car,High Risk
821,24,male,2,own,little,rich,3016,12,radio/TV,Low Risk
822,41,male,2,own,little,little,2712,36,furniture/equipment,Low Risk
823,47,male,1,own,little,little,731,8,car,Low Risk
824,35,male,3,own,little,NA,3780,18,furniture/equipment,High Risk
825,30,male,2,own,little,little,1602,21,car,Low Risk
826,33,female,2,rent,little,little,3966,18,car,Medium Risk
827,36,male,2,own,little,NA,4165,18,business,High Risk
828,47,male,2,free,NA,little,8335,36,car,High Risk
829,38,male,2,free,NA,moderate,6681,48,business,Low Risk
830,44,male,2,own,quite rich,NA,2375,24,business,High Risk
831,23,female,2,rent,little,little,1216,18,car,Low Risk
832,29,male,2,rent,little,little,11816,45,business,High Risk
833,42,female,2,own,NA,moderate,5084,24,radio/TV,Medium Risk
834,25,female,1,own,little,rich,2327,15,radio/TV,Low Risk
835,48,male,2,own,little,little,1082,12,car,Low Risk
836,21,female,2,own,NA,NA,886,12,radio/TV,High Risk
837,23,female,1,rent,little,NA,601,4,furniture/equipment,High Risk
838,63,male,2,own,little,little,2957,24,car,Low Risk
839,46,male,2,own,little,NA,2611,24,radio/TV,High Risk
840,29,male,2,own,little,little,5179,36,furniture/equipment,Low Risk
841,28,male,1,own,little,NA,2993,21,car,High Risk
842,23,female,2,own,little,NA,1943,18,repairs,High Risk
843,50,male,2,own,little,NA,1559,24,business,High Risk
844,47,male,2,own,little,NA,3422,18,furniture/equipment,High Risk
845,35,male,2,own,NA,moderate,3976,21,furniture/equipment,Medium Risk
846,68,male,2,rent,NA,NA,6761,18,car,High Risk
847,28,male,2,own,little,NA,1249,24,car,High Risk
848,59,male,2,own,little,little,1364,9,radio/TV,Low Risk
849,57,male,1,own,little,little,709,12,radio/TV,Low Risk
850,33,male,2,rent,little,little,2235,20,car,Low Risk
851,43,male,2,own,NA,NA,4042,24,car,High Risk
852,35,male,2,free,little,NA,1471,15,radio/TV,High Risk
853,32,male,1,free,little,little,1442,18,car,Low Risk
854,45,male,2,own,little,NA,10875,36,car,High Risk
855,33,male,2,own,moderate,NA,1474,24,car,High Risk
856,40,female,2,own,NA,NA,894,10,education,High Risk
857,28,male,2,free,little,NA,3343,15,furniture/equipment,High Risk
858,29,female,2,own,little,little,3959,15,car,Medium Risk
859,26,male,2,rent,moderate,NA,3577,9,car,High Risk
860,27,male,2,own,rich,NA,5804,24,car,High Risk
861,28,male,2,own,little,NA,2169,18,business,High Risk
862,35,female,2,own,little,little,2439,24,radio/TV,Low Risk
863,32,male,1,own,rich,NA,4526,27,furniture/equipment,High Risk
864,25,male,1,rent,little,NA,2210,10,furniture/equipment,High Risk
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment,High Risk
866,27,female,2,own,little,little,2389,18,radio/TV,Low Risk
867,42,male,2,own,little,NA,3331,12,furniture/equipment,High Risk
868,37,male,2,own,NA,NA,7409,36,business,High Risk
869,24,female,2,rent,little,little,652,12,furniture/equipment,Low Risk
870,40,female,2,own,quite rich,NA,7678,36,furniture/equipment,High Risk
871,46,male,2,own,little,rich,1343,6,car,Low Risk
872,26,male,2,own,moderate,little,1382,24,business,Low Risk
873,24,female,2,own,NA,NA,874,15,domestic appliances,High Risk
874,29,male,1,own,little,little,3590,12,furniture/equipment,Low Risk
875,40,female,2,own,rich,moderate,1322,11,car,Low Risk
876,36,male,3,free,little,little,1940,18,radio/TV,Low Risk
877,28,male,2,own,little,NA,3595,36,radio/TV,High Risk
878,27,male,3,free,little,little,1422,9,car,Low Risk
879,36,male,2,own,NA,NA,6742,30,radio/TV,High Risk
880,38,male,3,own,little,NA,7814,24,car,High Risk
881,48,male,2,free,NA,NA,9277,24,car,High Risk
882,36,male,2,own,NA,moderate,2181,30,car,Low Risk
883,65,female,0,own,little,NA,1098,18,radio/TV,High Risk
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,Medium Risk
885,53,female,2,own,little,little,795,12,education,Low Risk
886,34,male,2,own,NA,moderate,2825,24,business,Low Risk
887,23,male,2,own,little,moderate,15672,48,business,High Risk
888,34,male,3,own,little,NA,6614,36,car,High Risk
889,40,male,2,rent,NA,NA,7824,28,car,High Risk
890,43,male,3,own,little,little,2442,27,business,Low Risk
891,46,male,2,own,little,NA,1829,15,radio/TV,High Risk
892,38,male,1,own,little,little,2171,12,car,Low Risk
893,34,male,2,own,little,moderate,5800,36,car,Low Risk
894,29,male,2,own,NA,NA,1169,18,radio/TV,High Risk
895,31,male,3,own,NA,NA,8947,36,car,High Risk
896,28,female,3,rent,little,little,2606,21,radio/TV,Low Risk
897,35,female,2,own,rich,NA,1592,12,furniture/equipment,High Risk
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment,High Risk
899,42,male,2,own,little,little,4153,18,furniture/equipment,Medium Risk
900,43,male,2,rent,little,little,2625,16,car,Low Risk
901,44,male,2,own,NA,NA,3485,20,car,High Risk
902,42,male,2,free,NA,NA,10477,36,car,High Risk
903,40,male,2,rent,NA,NA,1386,15,radio/TV,High Risk
904,36,male,3,own,little,NA,1278,24,radio/TV,High Risk
905,20,male,3,rent,little,little,1107,12,radio/TV,Low Risk
906,24,male,1,own,NA,little,3763,21,car,Medium Risk
